iteration,temperature_C,vibration_mmps,proximity_cm,power_W,state,motor_speed_pct,alert_level,estop,maintenance_score
38,42.53,0.66,200.0,320.6,NORMAL,100,GREEN,0,0.0
39,42.66,0.58,188.9,320.5,NORMAL,100,GREEN,0,0.0
40,43.23,0.63,24.0,321.2,SAFETY_STOP,0,RED,1,0.0
41,42.58,0.50,80.0,325.8,NORMAL,100,GREEN,0,0.0
42,42.86,0.29,90.8,326.9,NORMAL,100,GREEN,0,0.0
43,42.54,0.39,89.0,326.7,NORMAL,100,GREEN,0,0.0
44,42.96,0.53,88.5,328.6,NORMAL,100,GREEN,0,0.0
45,42.24,0.73,90.8,331.1,NORMAL,100,GREEN,0,0.0
46,41.68,0.81,85.5,331.1,NORMAL,100,GREEN,0,0.0
47,42.05,0.93,81.0,329.0,NORMAL,100,GREEN,0,0.0
48,41.44,1.09,80.0,326.6,NORMAL,100,GREEN,0,0.0
49,40.66,1.08,80.0,329.3,NORMAL,100,GREEN,0,0.0
50,40.63,0.92,80.0,332.9,NORMAL,100,GREEN,0,0.0
51,41.31,1.02,80.0,334.3,NORMAL,100,GREEN,0,0.0
52,41.39,1.14,80.0,336.0,NORMAL,100,GREEN,0,0.0
53,41.82,1.30,80.0,341.1,NORMAL,100,GREEN,0,0.0
54,41.87,1.36,80.0,337.9,NORMAL,100,GREEN,0,0.0
55,41.70,1.46,81.5,338.7,NORMAL,100,GREEN,0,0.0
56,41.90,1.52,90.2,340.9,NORMAL,100,GREEN,0,0.0
57,41.17,1.32,87.9,341.8,NORMAL,100,GREEN,0,0.0
58,40.59,1.42,85.1,336.5,NORMAL,100,GREEN,0,0.0
59,40.52,1.49,89.1,330.6,NORMAL,100,GREEN,0,0.0
60,40.42,1.68,92.8,326.7,NORMAL,100,GREEN,0,0.0
61,40.94,1.46,83.3,324.6,NORMAL,100,GREEN,0,0.0
62,41.19,1.48,84.7,319.1,NORMAL,100,GREEN,0,0.0
63,40.77,1.31,87.2,323.6,NORMAL,100,GREEN,0,0.0
64,41.22,1.30,88.7,327.7,NORMAL,100,GREEN,0,0.0
65,41.23,1.50,86.7,330.0,NORMAL,100,GREEN,0,0.0
66,41.58,1.63,92.6,325.8,NORMAL,100,GREEN,0,0.0
67,41.53,1.59,84.4,330.8,NORMAL,100,GREEN,0,0.0
68,41.24,1.73,80.0,326.4,NORMAL,100,GREEN,0,0.0
69,41.82,1.60,80.0,325.9,NORMAL,100,GREEN,0,0.0
70,42.23,1.38,80.0,331.9,NORMAL,100,GREEN,0,0.0
71,41.57,1.21,89.1,336.4,NORMAL,100,GREEN,0,0.0
72,41.69,1.18,94.4,331.3,NORMAL,100,GREEN,0,0.0
73,41.53,1.03,100.7,326.5,NORMAL,100,GREEN,0,0.0
74,42.32,1.03,94.8,325.5,NORMAL,100,GREEN,0,0.0
75,43.07,0.99,90.8,322.5,NORMAL,100,GREEN,0,0.0
76,42.57,0.96,88.0,317.1,NORMAL,100,GREEN,0,0.0
77,42.82,1.11,88.0,315.5,NORMAL,100,GREEN,0,0.0
78,43.43,1.33,84.8,321.2,NORMAL,100,GREEN,0,0.0
79,42.71,1.21,93.3,323.2,NORMAL,100,GREEN,0,0.0
80,43.06,1.25,29.0,318.4,SAFETY_STOP,0,RED,1,0.0
81,43.06,1.12,80.0,312.5,NORMAL,100,GREEN,0,0.0
82,42.98,0.93,90.1,316.8,NORMAL,100,GREEN,0,0.0
83,42.82,0.79,80.2,321.0,NORMAL,100,GREEN,0,0.0
84,42.91,0.62,80.0,319.6,NORMAL,100,GREEN,0,0.0
85,43.15,0.78,80.0,321.2,NORMAL,100,GREEN,0,0.0
86,42.64,0.65,85.5,320.8,NORMAL,100,GREEN,0,0.0
87,41.85,0.60,80.0,322.4,NORMAL,100,GREEN,0,0.0
88,41.20,0.49,80.0,324.1,NORMAL,100,GREEN,0,0.0
89,41.11,0.28,83.6,328.9,NORMAL,100,GREEN,0,0.0
90,40.36,0.31,90.0,328.9,NORMAL,100,GREEN,0,0.0
91,40.81,0.46,86.2,326.5,NORMAL,100,GREEN,0,0.0
92,41.68,0.61,90.7,327.9,NORMAL,100,GREEN,0,0.0
93,42.00,0.79,84.7,332.6,NORMAL,100,GREEN,0,0.0
94,41.32,1.00,81.3,328.8,NORMAL,100,GREEN,0,0.0
95,41.09,1.01,88.9,328.9,NORMAL,100,GREEN,0,0.0
96,41.57,0.86,80.5,325.6,NORMAL,100,GREEN,0,0.0
97,40.98,0.99,80.0,322.7,NORMAL,100,GREEN,0,0.0
98,40.75,1.17,86.1,318.1,NORMAL,100,GREEN,0,0.0
99,41.21,0.99,84.1,320.9,NORMAL,100,GREEN,0,0.0
100,41.96,0.81,80.6,322.0,NORMAL,100,GREEN,0,0.0
101,41.10,0.86,80.3,317.8,NORMAL,100,GREEN,0,0.0
102,41.24,1.01,80.0,323.2,NORMAL,100,GREEN,0,0.0
103,40.99,0.86,80.0,318.7,NORMAL,100,GREEN,0,0.0
104,40.65,0.90,80.0,318.6,NORMAL,100,GREEN,0,0.0
105,40.49,0.89,85.9,321.9,NORMAL,100,GREEN,0,0.0
106,40.26,0.89,95.4,317.4,NORMAL,100,GREEN,0,0.0
107,40.42,0.81,104.1,317.5,NORMAL,100,GREEN,0,0.0
108,40.28,0.69,94.5,316.9,NORMAL,100,GREEN,0,0.0
109,40.86,0.72,96.8,315.7,NORMAL,100,GREEN,0,0.0
110,40.73,0.91,93.3,319.1,NORMAL,100,GREEN,0,0.0
111,39.96,1.05,103.1,317.7,NORMAL,100,GREEN,0,0.0
112,39.81,0.94,112.0,321.7,NORMAL,100,GREEN,0,0.0
113,40.23,0.99,114.6,316.9,NORMAL,100,GREEN,0,0.0
114,39.54,1.00,108.1,319.4,NORMAL,100,GREEN,0,0.0
115,40.12,0.82,101.3,316.3,NORMAL,100,GREEN,0,0.0
116,39.78,0.73,105.8,312.0,NORMAL,100,GREEN,0,0.0
117,40.50,0.64,106.7,309.9,NORMAL,100,GREEN,0,0.0
118,39.97,0.81,97.3,307.2,NORMAL,100,GREEN,0,0.0
119,40.34,0.60,101.3,302.7,NORMAL,100,GREEN,0,0.0
120,39.93,0.62,301.0,5.0,LOW_POWER,0,GREEN,0,0.0
121,39.52,0.42,297.3,4.0,LOW_POWER,0,GREEN,0,0.0
122,39.41,0.29,288.4,4.0,LOW_POWER,0,GREEN,0,0.0
123,39.98,0.46,285.9,3.0,LOW_POWER,0,GREEN,0,0.0
124,40.38,0.37,281.5,5.0,LOW_POWER,0,GREEN,0,0.0
125,39.51,0.53,275.8,3.0,LOW_POWER,0,GREEN,0,0.0
126,40.05,0.35,267.0,4.0,LOW_POWER,0,GREEN,0,0.0
127,39.60,0.22,271.9,3.0,LOW_POWER,0,GREEN,0,0.0
128,39.76,0.10,269.2,5.0,LOW_POWER,0,GREEN,0,0.0
129,40.45,0.12,273.3,3.0,LOW_POWER,0,GREEN,0,0.0
130,39.73,0.10,284.2,5.0,LOW_POWER,0,GREEN,0,0.0
131,39.82,0.10,288.7,3.0,LOW_POWER,0,GREEN,0,0.0
132,40.38,0.15,292.3,3.0,LOW_POWER,0,GREEN,0,0.0
133,40.01,0.10,299.3,5.0,LOW_POWER,0,GREEN,0,0.0
134,40.89,0.14,306.9,5.0,LOW_POWER,0,GREEN,0,0.0
135,41.07,0.10,315.2,3.0,LOW_POWER,0,GREEN,0,0.0
136,41.04,0.10,316.5,5.0,LOW_POWER,0,GREEN,0,0.0
137,40.85,0.31,309.7,3.0,LOW_POWER,0,GREEN,0,0.0
138,41.37,0.49,307.4,5.0,LOW_POWER,0,GREEN,0,0.0
139,42.21,0.59,296.2,4.0,LOW_POWER,0,GREEN,0,0.0
140,42.79,0.70,291.7,5.7,NORMAL,100,GREEN,0,0.0
141,42.11,0.75,285.7,4.3,LOW_POWER,0,GREEN,0,0.0
142,42.03,0.76,296.0,9.6,NORMAL,100,GREEN,0,0.0
143,42.75,0.75,293.1,11.9,NORMAL,100,GREEN,0,0.0
144,43.43,0.69,302.8,17.4,NORMAL,100,GREEN,0,0.0
145,42.81,0.77,311.4,18.1,NORMAL,100,GREEN,0,0.0
146,42.14,0.86,312.0,22.4,NORMAL,100,GREEN,0,0.0
147,42.57,0.76,313.9,23.1,NORMAL,100,GREEN,0,0.0
148,41.71,0.94,306.8,18.8,NORMAL,100,GREEN,0,0.0
149,41.73,0.92,307.4,24.5,NORMAL,100,GREEN,0,0.0
150,42.59,0.90,317.3,29.0,NORMAL,100,GREEN,0,0.0
151,43.38,0.81,318.9,32.8,NORMAL,100,GREEN,0,0.0
152,43.65,0.79,325.7,36.5,NORMAL,100,GREEN,0,0.0
153,43.05,0.85,322.3,34.0,NORMAL,100,GREEN,0,0.0
154,42.76,1.02,313.9,28.9,NORMAL,100,GREEN,0,0.0
155,42.15,1.13,317.2,25.1,NORMAL,100,GREEN,0,0.0
156,42.38,1.28,313.0,20.8,NORMAL,100,GREEN,0,0.0
157,42.01,1.43,303.6,18.0,NORMAL,100,GREEN,0,0.0
158,41.66,1.22,295.2,15.0,NORMAL,100,GREEN,0,0.0
159,41.31,1.31,284.8,20.5,NORMAL,100,GREEN,0,0.0
160,40.75,1.47,29.0,18.7,SAFETY_STOP,0,RED,1,0.0
161,40.08,1.53,80.0,12.8,NORMAL,100,GREEN,0,0.0
162,40.61,1.71,80.0,13.1,NORMAL,100,GREEN,0,0.0
163,40.68,1.64,80.0,11.7,NORMAL,100,GREEN,0,0.0
164,41.00,1.55,84.3,12.1,NORMAL,100,GREEN,0,0.0
165,40.82,1.75,92.3,11.1,NORMAL,100,GREEN,0,0.0
166,40.10,1.56,97.7,14.8,NORMAL,100,GREEN,0,0.0
167,39.46,1.64,85.8,20.8,NORMAL,100,GREEN,0,0.0
168,39.37,1.58,85.3,21.7,NORMAL,100,GREEN,0,0.0
169,40.27,1.50,87.3,25.2,NORMAL,100,GREEN,0,0.0
170,39.75,1.61,83.0,28.3,NORMAL,100,GREEN,0,0.0
171,39.03,1.59,80.0,31.6,NORMAL,100,GREEN,0,0.0
172,39.50,1.74,80.0,27.5,NORMAL,100,GREEN,0,0.0
173,39.99,1.58,81.9,32.0,NORMAL,100,GREEN,0,0.0
174,39.49,1.49,86.3,30.3,NORMAL,100,GREEN,0,0.0
175,40.37,1.57,82.9,29.6,NORMAL,100,GREEN,0,0.0
176,39.54,1.72,80.0,24.1,NORMAL,100,GREEN,0,0.0
177,38.90,1.76,87.9,22.4,NORMAL,100,GREEN,0,0.0
178,38.63,1.61,80.0,21.8,NORMAL,100,GREEN,0,0.0
179,38.85,1.50,80.0,20.4,NORMAL,100,GREEN,0,0.0
180,38.09,1.52,81.1,24.6,NORMAL,100,GREEN,0,0.0
181,38.40,1.35,86.3,29.3,NORMAL,100,GREEN,0,0.0
182,38.26,1.31,80.4,28.2,NORMAL,100,GREEN,0,0.0
183,37.53,1.36,88.9,23.8,NORMAL,100,GREEN,0,0.0
184,37.44,1.52,81.0,25.0,NORMAL,100,GREEN,0,0.0
185,37.38,1.74,91.9,28.8,NORMAL,100,GREEN,0,0.0
186,36.75,1.55,86.4,32.0,NORMAL,100,GREEN,0,0.0
187,36.44,1.55,80.0,30.9,NORMAL,100,GREEN,0,0.0
188,35.60,1.64,80.0,33.4,NORMAL,100,GREEN,0,0.0
189,36.17,1.85,82.3,30.3,NORMAL,100,GREEN,0,0.0
190,35.95,2.00,86.1,29.9,NORMAL,100,GREEN,0,0.0
191,35.88,2.01,88.5,34.8,NORMAL,100,GREEN,0,0.0
192,35.67,2.12,88.7,39.1,NORMAL,100,GREEN,0,0.0
193,36.15,2.11,92.8,44.0,NORMAL,100,GREEN,0,0.0
194,36.22,2.30,97.1,48.4,NORMAL,100,GREEN,0,0.0
195,36.11,2.45,91.7,48.1,NORMAL,100,GREEN,0,0.0
196,36.17,2.46,83.9,46.3,NORMAL,100,GREEN,0,0.0
197,36.17,2.58,86.3,50.8,NORMAL,100,GREEN,0,0.0
198,36.39,2.48,82.5,45.8,NORMAL,100,GREEN,0,0.0
199,36.88,2.67,94.5,41.7,NORMAL,100,GREEN,0,0.0
